epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,77155.3,0.26626,0.70691,0.27829,0.18501,0.76186,1,1,0.995,0.9915,1,1,0.995,0.99341,0.21709,0.78175,0.7381,0.16053,0.89694,0.0003202,0.0003202,0.0003202
105,77942.2,0.29055,0.79403,0.27886,0.20157,0.77477,1,1,0.995,0.98888,1,1,0.995,0.99326,0.23461,0.69835,0.66617,0.16626,0.92127,0.0003136,0.0003136,0.0003136
106,78662.2,0.26374,0.74847,0.273,0.18429,0.76277,1,1,0.995,0.99356,1,1,0.995,0.99315,0.19487,0.66866,0.46743,0.15195,0.84233,0.000307,0.000307,0.000307
107,79480.5,0.26612,0.70223,0.2536,0.18743,0.76546,1,1,0.995,0.99356,1,1,0.995,0.993,0.19997,0.69928,0.47439,0.16831,0.84827,0.0003004,0.0003004,0.0003004
108,80195.4,0.26852,0.66613,0.27839,0.18361,0.74019,0.99813,1,0.995,0.995,0.99813,1,0.995,0.99269,0.20641,0.72133,0.56114,0.16181,0.87494,0.0002938,0.0002938,0.0002938
109,81001.2,0.25708,0.70778,0.25484,0.17769,0.75493,0.99811,1,0.995,0.995,0.99811,1,0.995,0.995,0.19594,0.60219,0.45984,0.15871,0.83661,0.0002872,0.0002872,0.0002872
110,81713.1,0.27575,0.67947,0.30939,0.18039,0.74459,1,1,0.995,0.99081,1,1,0.995,0.995,0.19816,0.66019,0.40221,0.15197,0.86437,0.0002806,0.0002806,0.0002806
111,82530.3,0.27703,0.67544,0.22926,0.18462,0.7458,1,1,0.995,0.99025,1,1,0.995,0.993,0.18528,0.60893,0.54181,0.14584,0.85746,0.000274,0.000274,0.000274
112,83248.7,0.26653,0.66055,0.24195,0.17921,0.75579,1,1,0.995,0.99081,1,1,0.995,0.993,0.18247,0.59435,0.55938,0.15192,0.86111,0.0002674,0.0002674,0.0002674
113,84051.4,0.26507,0.64823,0.23841,0.17923,0.73975,1,1,0.995,0.99123,1,1,0.995,0.99315,0.19948,0.75853,0.52231,0.14763,0.85865,0.0002608,0.0002608,0.0002608
114,84770.2,0.26283,0.62952,0.24268,0.17496,0.74563,0.99812,1,0.995,0.99073,0.99812,1,0.995,0.995,0.19647,0.67821,0.39882,0.14669,0.85807,0.0002542,0.0002542,0.0002542
115,85569,0.24743,0.6257,0.21961,0.17118,0.74591,0.99807,1,0.995,0.995,0.99807,1,0.995,0.9928,0.16824,0.59265,0.24154,0.14582,0.79989,0.0002476,0.0002476,0.0002476
116,86286.6,0.26485,0.66185,0.22992,0.17524,0.74292,0.99811,1,0.995,0.99259,0.99811,1,0.995,0.995,0.19511,0.64412,0.59925,0.14956,0.85121,0.000241,0.000241,0.000241
